iter	Passed	Remaining
465	741	849
466	742	847
467	743	845
468	745	844
469	747	843
470	748	840
471	749	838
472	751	836
473	752	834
474	753	832
475	754	830
476	755	828
477	756	825
478	757	823
479	758	821
480	759	819
481	762	819
482	763	817
483	765	815
484	766	813
485	768	812
486	769	810
487	771	809
488	772	807
489	774	805
490	777	805
491	778	803
492	779	801
493	780	799
494	781	797
495	782	795
496	783	793
497	784	791
498	786	789
499	787	787
500	788	784
501	789	782
502	793	783
503	794	781
504	795	779
505	796	777
506	797	775
507	798	773
508	799	771
509	800	769
510	801	767
511	802	764
512	803	762
513	807	763
514	808	761
515	809	759
516	810	757
517	811	755
518	812	753
519	813	751
520	815	749
521	816	747
522	817	745
523	818	743
524	819	741
525	821	739
526	822	737
527	823	736
528	825	734
529	826	733
530	828	731
531	829	729
532	830	727
533	832	726
534	836	726
535	837	725
536	838	723
537	840	721
538	841	719
539	842	717
540	843	715
541	844	713
542	845	711
543	846	709
544	849	708
545	850	707
546	851	705
547	852	703
548	853	701
549	854	699
550	855	697
551	856	695
552	857	693
553	858	691
554	860	689
555	861	687
556	864	687
557	865	685
558	866	683
559	867	681
560	868	679
561	869	677
562	870	675
563	871	673
564	872	671
565	873	669
566	874	667
567	876	666
568	880	666
569	881	665
570	883	663
571	885	662
572	887	661
573	889	659
574	891	658
575	896	659
576	897	657
577	898	655
578	899	654
579	900	652
580	902	650
581	903	648
582	904	646
583	905	645
584	906	643
585	909	642
586	911	640
587	912	639
588	913	637
589	917	637
590	919	636
591	920	634
592	921	632
593	925	632
594	927	631
595	928	629
596	930	628
597	932	626
598	934	625
599	952	635
600	974	647
601	976	645
602	978	644
603	980	642
604	982	641
605	983	639
606	986	638
607	987	636
608	989	635
609	995	636
610	996	634
611	998	633
612	1002	632
613	1004	631
614	1005	629
615	1007	627
616	1011	627
617	1013	626
618	1018	626
619	1021	626
620	1034	631
621	1036	630
622	1038	628
623	1040	626
624	1046	627
625	1048	626
626	1049	624
627	1051	622
628	1052	620
629	1054	619
630	1063	621
631	1065	620
632	1076	624
633	1079	623
634	1082	622
635	1084	620
636	1086	618
637	1087	617
638	1092	616
639	1094	615
640	1095	613
641	1097	611
642	1099	610
643	1101	608
644	1103	607
645	1114	610
646	1116	609
647	1118	607
648	1123	607
649	1125	605
650	1128	604
651	1129	602
652	1130	600
653	1132	599
654	1134	597
655	1139	597
656	1141	596
657	1143	594
658	1144	592
659	1145	590
660	1147	588
661	1148	586
662	1149	584
663	1152	583
664	1154	581
665	1155	579
666	1156	577
667	1157	575
668	1158	573
669	1159	571
670	1160	569
671	1161	566
672	1162	565
673	1163	562
674	1164	560
675	1167	559
676	1168	557
677	1169	555
678	1170	553
679	1171	551
680	1172	549
681	1173	547
682	1174	545
683	1175	543
684	1176	541
685	1177	539
686	1179	537
687	1181	535
688	1182	533
689	1183	531
690	1184	529
691	1185	527
692	1186	525
693	1187	523
694	1188	521
695	1189	519
696	1190	517
697	1191	515
698	1192	513
699	1195	512
700	1196	510
701	1197	508
702	1198	506
703	1199	504
704	1200	502
705	1201	500
706	1202	498
707	1203	496
708	1204	494
709	1205	492
710	1206	490
711	1207	488
712	1210	487
713	1211	485
714	1212	483
715	1213	481
716	1214	479
717	1215	477
718	1216	475
719	1217	473
720	1218	471
721	1219	469
722	1220	467
723	1221	465
724	1224	464
725	1225	462
726	1226	460
727	1227	458
728	1228	456
729	1229	454
730	1230	452
731	1231	450
732	1232	449
733	1233	447
734	1234	445
735	1235	443
736	1236	441
737	1239	440
738	1240	438
739	1241	436
740	1242	434
741	1243	432
742	1244	430
743	1245	428
744	1246	426
745	1247	424
746	1248	422
747	1249	421
748	1250	419
749	1251	417
750	1253	415
751	1255	413
752	1256	412
753	1257	410
754	1258	408
755	1259	406
756	1260	404
757	1261	402
758	1262	400
759	1263	398
760	1264	397
761	1265	395
762	1268	393
763	1269	392
764	1270	390
765	1271	388
766	1272	386
767	1273	384
768	1274	382
769	1275	381
770	1276	379
771	1277	377
772	1278	375
773	1279	373
774	1280	371
775	1282	370
776	1283	368
777	1284	366
778	1285	364
779	1286	362
780	1287	361
781	1288	359
782	1289	357
783	1290	355
784	1291	353
785	1292	351
786	1293	350
787	1295	348
788	1297	346
789	1298	345
790	1299	343
791	1300	341
792	1301	339
793	1302	337
794	1303	336
795	1304	334
796	1305	332
797	1306	330
798	1308	329
799	1309	327
800	1311	325
801	1312	324
802	1313	322
803	1315	320
804	1315	318
805	1316	316
806	1318	315
807	1319	313
808	1320	311
809	1321	309
810	1322	308
811	1323	306
812	1325	304
813	1327	303
814	1327	301
815	1329	299
816	1330	297
817	1331	296
818	1332	294
819	1333	292
820	1334	290
821	1335	289
822	1336	287
823	1337	285
824	1338	283
825	1341	282
826	1342	280
827	1343	279
828	1344	277
829	1345	275
830	1346	273
831	1347	272
832	1348	270
833	1349	268
834	1350	266
835	1351	265
836	1352	263
837	1355	262
838	1356	260
839	1357	258
840	1358	256
841	1359	255
842	1360	253
843	1361	251
844	1362	249
845	1363	248
846	1364	246
847	1365	244
848	1366	243
849	1367	241
850	1370	239
851	1371	238
852	1372	236
853	1373	234
854	1374	233
855	1375	231
856	1376	229
857	1377	228
858	1378	226
859	1379	224
860	1380	222
861	1381	221
862	1384	219
863	1385	218
864	1386	216
865	1387	214
866	1388	213
867	1389	211
868	1391	209
869	1392	208
870	1393	206
871	1395	204
872	1396	203
873	1399	201
874	1400	200
875	1402	198
876	1403	196
877	1404	195
878	1405	193
879	1406	191
880	1407	190
881	1408	188
882	1409	186
883	1411	185
884	1412	183
885	1415	182
886	1416	180
887	1417	178
888	1418	177
889	1419	175
890	1420	173
891	1421	172
892	1422	170
893	1423	168
894	1424	167
895	1425	165
896	1426	163
897	1428	162
898	1430	160
899	1431	159
900	1432	157
901	1433	155
902	1434	154
903	1435	152
904	1436	150
905	1437	149
906	1438	147
907	1439	145
908	1440	144
909	1441	142
910	1443	141
911	1445	139
912	1446	137
913	1447	136
914	1448	134
915	1449	132
916	1450	131
917	1451	129
918	1452	127
919	1453	126
920	1454	124
921	1455	123
922	1456	121
923	1459	120
924	1460	118
925	1461	116
926	1462	115
927	1463	113
928	1464	111
929	1465	110
930	1466	108
931	1467	107
932	1468	105
933	1469	103
934	1470	102
935	1473	100
936	1474	99
937	1475	97
938	1476	95
939	1477	94
940	1478	92
941	1479	91
942	1480	89
943	1481	87
944	1482	86
945	1483	84
946	1484	83
947	1486	81
948	1487	79
949	1489	78
950	1490	76
951	1492	75
952	1494	73
953	1495	72
954	1496	70
955	1497	68
956	1498	67
957	1499	65
958	1502	64
959	1503	62
960	1504	61
961	1505	59
962	1506	57
963	1507	56
964	1508	54
965	1509	53
966	1510	51
967	1511	49
968	1512	48
969	1513	46
970	1516	45
971	1517	43
972	1518	42
973	1519	40
974	1520	38
975	1521	37
976	1522	35
977	1523	34
978	1524	32
979	1525	31
980	1527	29
981	1528	28
982	1530	26
983	1531	24
984	1532	23
985	1533	21
986	1534	20
987	1535	18
988	1536	17
989	1537	15
990	1538	13
991	1539	12
992	1540	10
993	1541	9
994	1542	7
995	1545	6
996	1546	4
997	1547	3
998	1548	1
999	1549	0
